City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
302,Trinidad,BO,-14.8333,-64.9,84.18,58,100,11.5,moderate rain
303,Vardo,NO,70.3705,31.1107,40.98,87,100,5.75,overcast clouds
304,Ayagoz,KZ,47.9714,80.4392,42.75,43,2,3.04,clear sky
305,Flagstaff,US,35.1981,-111.6513,75.52,21,0,9.22,clear sky
306,Lima,PE,-12.0432,-77.0282,64.65,63,20,17.27,few clouds
307,Mandurah,AU,-32.55,115.7,51.01,86,0,5.08,clear sky
308,Lasa,IT,46.6166,10.7002,52.36,93,96,1.16,overcast clouds
309,Korla,CN,41.7597,86.1469,51.62,29,13,1.41,few clouds
310,Deming,US,32.2687,-107.7586,75.92,31,100,5.39,overcast clouds
311,Pingliang,CN,35.5392,106.6861,50.18,50,92,2.62,overcast clouds
312,Manokwari,ID,-0.8667,134.0833,79.27,76,98,2.82,moderate rain
313,Tokur,RU,53.1333,132.9,28.83,85,41,3.6,scattered clouds
314,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,86,20,6.71,few clouds
315,Ha Tinh,VN,18.3333,105.9,71.51,77,100,9.84,overcast clouds
316,Seinajoki,FI,62.7945,22.8282,46.24,99,75,6.91,broken clouds
317,Te Anau,NZ,-45.4167,167.7167,51.66,52,4,1.95,clear sky
318,Auki,SB,-8.7676,160.7034,80.28,73,100,2.37,overcast clouds
319,Cabedelo,BR,-6.9811,-34.8339,77.81,73,9,14.81,clear sky
320,Bathsheba,BB,13.2167,-59.5167,81.61,76,15,11.65,few clouds
321,San Miguel,SV,13.4833,-88.1833,84.43,78,89,2.01,overcast clouds
322,Biloela,AU,-24.4167,150.5,69.71,70,100,10.25,overcast clouds
323,Port Hardy,CA,50.6996,-127.4199,50.18,100,100,3.44,fog
324,Port Macquarie,AU,-31.4333,152.9167,58.89,61,0,6.98,clear sky
325,Saint Anthony,US,45.0205,-93.218,42.22,81,100,6.91,overcast clouds
326,Walvis Bay,NA,-22.9575,14.5053,59.09,84,67,5.68,broken clouds
327,Faanui,PF,-16.4833,-151.75,79.05,72,18,11.16,few clouds
328,Tual,ID,-5.6667,132.75,82.76,73,100,7.87,overcast clouds
329,Pisco,PE,-13.7,-76.2167,66.02,75,2,8.41,clear sky
330,Faro,PT,37.0194,-7.9322,73.18,60,0,8.05,clear sky
331,Mackay,AU,-21.15,149.2,72.68,79,4,2.57,clear sky
332,South Venice,US,27.0531,-82.4243,86.27,82,33,5.99,scattered clouds
333,Chokurdakh,RU,70.6333,147.9167,12.09,96,98,7.56,overcast clouds
334,San Vicente,AR,-26.6167,-54.1333,65.03,88,51,6.44,broken clouds
335,Miles City,US,46.4083,-105.8406,64.89,32,100,17.34,overcast clouds
336,Bentiu,SS,9.2333,29.8333,73.51,91,100,0.96,overcast clouds
337,Provideniya,RU,64.3833,-173.3,27.99,80,75,8.19,broken clouds
338,Nalut,LY,30.3333,10.85,73.45,49,6,9.57,clear sky
339,Kirakira,SB,-10.4544,161.9205,82.51,73,100,1.95,overcast clouds
340,Salinas,US,36.6777,-121.6555,76.01,50,0,7.43,clear sky
341,Basco,PH,20.4487,121.9702,79.79,88,100,30.36,light rain
342,Kawalu,ID,-7.3817,108.2082,71.73,98,97,2.26,overcast clouds
343,Niihama,JP,33.9593,133.3167,63.03,80,1,1.05,clear sky
344,Chalus,IR,36.655,51.4204,70.16,78,17,3.15,few clouds
345,Yanam,IN,16.7333,82.2167,75.9,96,100,6.29,light rain
346,Kimbe,PG,-5.5502,150.1429,78.03,88,100,2.48,overcast clouds
